CCTV综合,#genre#
金鹰卡通,http://183.134.3.22:8888/newlive/live/hls/55/live.m3u8

哔哩哔哩,#genre#
铁齿铜牙纪晓岚,http://43.138.170.29:35455/bilibili/23900931
周星驰,http://43.138.170.29:35455/bilibili/47917
快乐驿站,http://43.138.170.29:35455/bilibili/27409457
猫和老鼠,http://43.138.170.29:35455/bilibili/748068
林正英,http://43.138.170.29:35455/bilibili/193
哆啦A梦,http://43.138.170.29:35455/bilibili/5297520
僵尸 经典,http://43.138.170.29:35455/bilibili/82997
周星星|新海诚,http://43.138.170.29:35455/bilibili/13566606
童年经典,http://43.138.170.29:35455/bilibili/26960856
僵尸 灵异,http://43.138.170.29:35455/bilibili/24116013
倩女幽魂 大S版,http://43.138.170.29:35455/bilibili/27760583
侦探查案,http://43.138.170.29:35455/bilibili/10449587
大片经典,http://43.138.170.29:35455/bilibili/127343
回味经典,http://43.138.170.29:35455/bilibili/23159199
野原新之助,http://43.138.170.29:35455/bilibili/27311355
聪明的一休,http://43.138.170.29:35455/bilibili/26044207

YY,#genre#
好久不见-武林外传,http://43.138.170.29:35455/yy/1355914397
封神榜,http://43.138.170.29:35455/yy/1353426319
【战狼3吴京】首播,http://43.138.170.29:35455/yy/1456668939
过年了,http://43.138.170.29:35455/yy/1454553780
新水浒传,http://43.138.170.29:35455/yy/1356059275
豪哥带我们发财,http://43.138.170.29:35455/yy/23402146
电影 古惑仔全集,http://43.138.170.29:35455/yy/1354507447
神医喜来乐,http://43.138.170.29:35455/yy/1382714119
德爷单挑荒野,http://43.138.170.29:35455/yy/27772604
赵本山《超清版》,http://43.138.170.29:35455/yy/1382683959
纪晓岚,http://43.138.170.29:35455/yy/1352227227
赵本山《蓝光版》,http://43.138.170.29:35455/yy/32160832
武林外传,http://43.138.170.29:35455/yy/1354752120
弹幕天团 下饭神剧,http://43.138.170.29:35455/yy/23512910
超喜剧地下交通站男神贾贵,http://43.138.170.29:35455/yy/1353428972
【新三国】蓝光版,http://43.138.170.29:35455/yy/1382705738
神探狄仁杰2,http://43.138.170.29:35455/yy/1382828767
纪晓岚,http://43.138.170.29:35455/yy/1354143978
天龙八部,http://43.138.170.29:35455/yy/1351814644
少年包青天1-3蓝光版,http://43.138.170.29:35455/yy/38498680
林正英-经典电影,http://43.138.170.29:35455/yy/34229877
【盜暮笔记】24h,http://43.138.170.29:35455/yy/1382702247
【赌神片 动作片 港片】,http://43.138.170.29:35455/yy/1355112116
鹿鼎记-高清全集,http://43.138.170.29:35455/yy/1382704650
超级吓人鬼片 恐怖片,http://43.138.170.29:35455/yy/1355641195
欢乐集结号-每天笑不停,http://43.138.170.29:35455/yy/1382741642
【鹿鼎记】金庸经典,http://43.138.170.29:35455/yy/28265277
雍正王朝 高清 护眼版,http://43.138.170.29:35455/yy/23206872
进来 陪你看动漫,http://43.138.170.29:35455/yy/1352866135
绝版电影 女鬼,http://43.138.170.29:35455/yy/1454587259
吃鱼了,http://43.138.170.29:35455/yy/1382764587
【战狼4】吴京老师,http://43.138.170.29:35455/yy/1354784284
【战狼3吴京】独播,http://43.138.170.29:35455/yy/37999586
【火蓝刀锋】臭鱼,http://43.138.170.29:35455/yy/1354784966
【济公】游本昌老师,http://43.138.170.29:35455/yy/25519088
绝版电影 600部,http://43.138.170.29:35455/yy/1382764593
YY恐怖电影,http://43.138.170.29:35455/yy/24066336
【动漫】斗罗斗破,http://43.138.170.29:35455/yy/1353098382
我的兄弟叫宝强,http://43.138.170.29:35455/yy/1354752117
神探狄仁杰,http://43.138.170.29:35455/yy/38338029
【义+】+奈奈新正在直播,http://43.138.170.29:35455/yy/1462815850
狄仁杰,http://43.138.170.29:35455/yy/1351755386
【新三国】萌儿陪看,http://43.138.170.29:35455/yy/29216766
隋唐英雄传 蓝光,http://43.138.170.29:35455/yy/1352475619
玲宝陪你看,http://43.138.170.29:35455/yy/1353215589
恐怖鬼片,http://43.138.170.29:35455/yy/1355485328
英叔僵尸 3000部,http://43.138.170.29:35455/yy/1353685311
纪晓岚,http://43.138.170.29:35455/yy/1382781415
知否知否应是绿肥红瘦,http://43.138.170.29:35455/yy/21881901
二龙湖浩哥【经典搞笑】,http://43.138.170.29:35455/yy/28205255
林正英 僵尸 鬼片,http://43.138.170.29:35455/yy/1351505899
康熙微服私访记,http://43.138.170.29:35455/yy/1352811698
83射雕英雄传,http://43.138.170.29:35455/yy/1354210357
雍正王朝,http://43.138.170.29:35455/yy/26650882
火凤凰之战狼七,http://43.138.170.29:35455/yy/1463088777
情满四合院,http://43.138.170.29:35455/yy/30736888
宰相刘罗锅,http://43.138.170.29:35455/yy/1382745191
地下交通站,http://43.138.170.29:35455/yy/1382736795
经典港片800部,http://43.138.170.29:35455/yy/1382800018
少年包青天,http://43.138.170.29:35455/yy/1382651363
【一代枭雄】24h,http://43.138.170.29:35455/yy/1355917294
花儿开心吧,http://43.138.170.29:35455/yy/1354930984
正阳门下,http://43.138.170.29:35455/yy/1354931580
新三国,http://43.138.170.29:35455/yy/26744898
武林外传,http://43.138.170.29:35455/yy/1353852605
雪中悍刀行,http://43.138.170.29:35455/yy/1382660835
泡芙陪你看电影,http://43.138.170.29:35455/yy/24407222
二号交通站,http://43.138.170.29:35455/yy/1382735582
港片电影,http://43.138.170.29:35455/yy/33897188
正阳门下 正在直播,http://43.138.170.29:35455/yy/1453059740
鹿鼎记-周星驰版,http://43.138.170.29:35455/yy/1354658049
燕双鹰,http://43.138.170.29:35455/yy/1354143942
66车讯,http://43.138.170.29:35455/yy/1382571192
女鬼 绝版电影,http://43.138.170.29:35455/yy/1459727675
女鬼 绝版电影,http://43.138.170.29:35455/yy/1355479289
速度与激情全集,http://43.138.170.29:35455/yy/1382749892
燕双鹰系列,http://43.138.170.29:35455/yy/1457622044
高分经典电影,http://43.138.170.29:35455/yy/1382754187
经典鬼片 绝版好看,http://43.138.170.29:35455/yy/1353850051
【老九门】首播,http://43.138.170.29:35455/yy/1353877164
燕双鹰,http://43.138.170.29:35455/yy/1352227153
神雕侠侣,http://43.138.170.29:35455/yy/1351762426
西游记后传 蓝光,http://43.138.170.29:35455/yy/1353392400
新三国24小时播放,http://43.138.170.29:35455/yy/1354555195
风筝,http://43.138.170.29:35455/yy/1382828770
放羊的星星,http://43.138.170.29:35455/yy/1355260662
纪晓岚,http://43.138.170.29:35455/yy/22982216
斗罗斗破精彩动漫,http://43.138.170.29:35455/yy/1507304388
怒海潜沙 &重启全集,http://43.138.170.29:35455/yy/1354744544
星爷功夫 经典武侠,http://43.138.170.29:35455/yy/74613175
丫头动漫 斗罗斗破,http://43.138.170.29:35455/yy/1458722520
[鬼怪.惊辣.墓穴],http://43.138.170.29:35455/yy/1382748585
父母爱情,http://43.138.170.29:35455/yy/1382746276
狂飙2港片电影,http://43.138.170.29:35455/yy/28099939
神探狄仁杰1—5部全集,http://43.138.170.29:35455/yy/1382705592
我和僵尸有个约会,http://43.138.170.29:35455/yy/1354143966
盗慕笔记鬼灯,http://43.138.170.29:35455/yy/1382765507
斗罗斗破,http://43.138.170.29:35455/yy/1354768828
【经典港片】佟瑶,http://43.138.170.29:35455/yy/23531261
举起手来-惊险抗日,http://43.138.170.29:35455/yy/1382736877
狄仁杰等你哦,http://43.138.170.29:35455/yy/1457579747
热度榜1.包青天,http://43.138.170.29:35455/yy/22701868
港片鬼片电影,http://43.138.170.29:35455/yy/1355364378
倚天屠龙记,http://43.138.170.29:35455/yy/1449856066
新主播，求照顾,http://43.138.170.29:35455/yy/29197808
【周星驰超级搞笑电影,http://43.138.170.29:35455/yy/38670875
抗日奇侠 首播,http://43.138.170.29:35455/yy/39204655
全职高手,http://43.138.170.29:35455/yy/26870427
送欢乐,http://43.138.170.29:35455/yy/34093016
港片鬼片全集,http://43.138.170.29:35455/yy/1459869766
鬼片赌片经典电影,http://43.138.170.29:35455/yy/1351496216
雪中悍刀行,http://43.138.170.29:35455/yy/1354943110
新白娘子传奇,http://43.138.170.29:35455/yy/1354490667
超级无敌吓人大片,http://43.138.170.29:35455/yy/1354952229
英叔全集经典鬼片,http://43.138.170.29:35455/yy/1354869861
24小时播放,http://43.138.170.29:35455/yy/29067083
少年歌行【蓝光】,http://43.138.170.29:35455/yy/1450556636
进来 陪你看电视,http://43.138.170.29:35455/yy/1353518742
武工队传奇,http://43.138.170.29:35455/yy/1354790484
叶问全集,http://43.138.170.29:35455/yy/1382828771
灌篮高手 正在直播,http://43.138.170.29:35455/yy/1351417866
【血色浪漫】经典回顾,http://43.138.170.29:35455/yy/33369999
【二炮手】孙红雷,http://43.138.170.29:35455/yy/1354330324
朱元璋电视剧,http://43.138.170.29:35455/yy/1382765235
燕双鹰,http://43.138.170.29:35455/yy/1355358366
大秧歌,http://43.138.170.29:35455/yy/1460463356
笑傲江湖 4K超清,http://43.138.170.29:35455/yy/1354282410
【天龙八部】蓝光超清,http://43.138.170.29:35455/yy/28996058
九品芝麻官包龙星,http://43.138.170.29:35455/yy/1354930968
燕双鹰专场,http://43.138.170.29:35455/yy/23026835
经典动漫,http://43.138.170.29:35455/yy/24180320
港片 喜剧 动作,http://43.138.170.29:35455/yy/1355480591
新主播，求照顾,http://43.138.170.29:35455/yy/1382690406
布丁-玄幻电影正在直播,http://43.138.170.29:35455/yy/1455460998
打狗棍,http://43.138.170.29:35455/yy/1354773122
火蓝刀锋,http://43.138.170.29:35455/yy/1382737892
士兵突击,http://43.138.170.29:35455/yy/1382828766
【陪你看】金刚葫芦娃,http://43.138.170.29:35455/yy/1353323999
林正英 女鬼电影,http://43.138.170.29:35455/yy/1453996620
24H国漫热播,http://43.138.170.29:35455/yy/1353937086
斗破苍穹玄幻剧,http://43.138.170.29:35455/yy/1356051105
寻秦记-穿越剧经典,http://43.138.170.29:35455/yy/1382749900
真实案件系列,http://43.138.170.29:35455/yy/1382671124
港片电影集,http://43.138.170.29:35455/yy/1455225203
特种兵系列,http://43.138.170.29:35455/yy/1508456184
【电视剧】士兵突击,http://43.138.170.29:35455/yy/96731358
五号特工组,http://43.138.170.29:35455/yy/1507704566
系列电视剧,http://43.138.170.29:35455/yy/1458015189
【成龙经典】动作,http://43.138.170.29:35455/yy/34460526
奇领 铁山靠【Y 正在直播,http://43.138.170.29:35455/yy/41584371
24灌篮高手正在直播,http://43.138.170.29:35455/yy/1350984033
彭禺厶鬼怪奇幻系列电影,http://43.138.170.29:35455/yy/1355249116
神探狄仁杰1,http://43.138.170.29:35455/yy/1354930934
开心剧场《地下交通站》,http://43.138.170.29:35455/yy/29907996
双月之城-国漫,http://43.138.170.29:35455/yy/1382736907
【雪豹】超经典,http://43.138.170.29:35455/yy/1450496699
星爷经典-百看不厌,http://43.138.170.29:35455/yy/1382736808
三国演义94年经典版,http://43.138.170.29:35455/yy/1354936241
经典港片电影,http://43.138.170.29:35455/yy/1382793140
天道-9.2高分好剧,http://43.138.170.29:35455/yy/1382735574
纪晓岚专属,http://43.138.170.29:35455/yy/63826933
少年包青天第三部,http://43.138.170.29:35455/yy/1382736814
宋小宝小品合集,http://43.138.170.29:35455/yy/1354931577
炊事班的故事II,http://43.138.170.29:35455/yy/1382736885
【狂飙】4K,http://43.138.170.29:35455/yy/1382773728
你最爱的宋小宝,http://43.138.170.29:35455/yy/1354936198
读心神探,http://43.138.170.29:35455/yy/1382736875
小兵张嘎,http://43.138.170.29:35455/yy/1354930225
父母的爱情,http://43.138.170.29:35455/yy/1382768483
主播-求关注.24小时,http://43.138.170.29:35455/yy/1456625255
斗罗斗破动漫,http://43.138.170.29:35455/yy/1420843376
！,http://43.138.170.29:35455/yy/1353255986
笑傲帮,http://43.138.170.29:35455/yy/1382735555
情满四合院,http://43.138.170.29:35455/yy/1382736888
斗罗斗破,http://43.138.170.29:35455/yy/1354768831
康熙王朝,http://43.138.170.29:35455/yy/1382736818
【动漫】斗罗斗破,http://43.138.170.29:35455/yy/35742228
港剧《驼枪师姐》,http://43.138.170.29:35455/yy/1382688521
辽宁七七与你相见恨晚,http://43.138.170.29:35455/yy/1451760831
狂飙 蓝光,http://43.138.170.29:35455/yy/1382787686
【神雕侠侣】金庸经典,http://43.138.170.29:35455/yy/1382704651
今夜欢乐颂,http://43.138.170.29:35455/yy/1382735572
易中天品三国完整版,http://43.138.170.29:35455/yy/1461244449
【荒野求生】德爷 贝爷,http://43.138.170.29:35455/yy/39123221
【荒野求生】德爷贝爷蓝光,http://43.138.170.29:35455/yy/24759907
我的前半生,http://43.138.170.29:35455/yy/1382735564
为什么你一直是单身,http://43.138.170.29:35455/yy/89431014
电影,http://43.138.170.29:35455/yy/1458819360
济公游记,http://43.138.170.29:35455/yy/1355265814
一起合租的快乐生活~,http://43.138.170.29:35455/yy/38525272
我爱我家,http://43.138.170.29:35455/yy/1382735557
炊事班的故事III,http://43.138.170.29:35455/yy/1382736716
今晚80后脱口秀,http://43.138.170.29:35455/yy/1382745098
家花与野花,http://43.138.170.29:35455/yy/1354420982
妹子高分搞笑电影,http://43.138.170.29:35455/yy/33478222
现代军旅,http://43.138.170.29:35455/yy/1382830638
【案发现场】1-4部全集,http://43.138.170.29:35455/yy/33567888
鬼片恐怖片 美女陪你看,http://43.138.170.29:35455/yy/1335509613
经典电影,http://43.138.170.29:35455/yy/1355142167
港剧悬疑破案,http://43.138.170.29:35455/yy/10425097
【动漫】斗罗斗破超清全屏,http://43.138.170.29:35455/yy/1382689904
笑傲江湖,http://43.138.170.29:35455/yy/1354930909
吴京 特种战士,http://43.138.170.29:35455/yy/76101626
【林正英】僵尸 鬼片,http://43.138.170.29:35455/yy/30668277
经典港剧《法证先锋》,http://43.138.170.29:35455/yy/1461993663
烧脑破案24h陪你看,http://43.138.170.29:35455/yy/1355171357
经典鬼片3000部,http://43.138.170.29:35455/yy/29460894
【电影】顶级动作电影,http://43.138.170.29:35455/yy/24923327
【战狼3吴京首播】,http://43.138.170.29:35455/yy/1354752072
【电影】超然巨作,http://43.138.170.29:35455/yy/26623173
【电影】超然巨作,http://43.138.170.29:35455/yy/29170933
倚天屠龙记,http://43.138.170.29:35455/yy/1354755003
少年包青天三,http://43.138.170.29:35455/yy/61318527
倚天屠龙记,http://43.138.170.29:35455/yy/1382818085
吕小羊鬼片 正在直播,http://43.138.170.29:35455/yy/1354792118
利刃出击乐乐陪看,http://43.138.170.29:35455/yy/1352946111
父母爱情,http://43.138.170.29:35455/yy/1354926650
林正英 经典鬼片,http://43.138.170.29:35455/yy/1353312849
岳云鹏-屌丝也能追到美女,http://43.138.170.29:35455/yy/1382736882
宫心计,http://43.138.170.29:35455/yy/1382828769
开饭了大熊猫,http://43.138.170.29:35455/yy/1382741641
《刑事侦缉档案》4部连播,http://43.138.170.29:35455/yy/95017956
天龙神雕经典回忆,http://43.138.170.29:35455/yy/68260522
破案港剧,http://43.138.170.29:35455/yy/1350670730
《石敢当》六耳猕猴,http://43.138.170.29:35455/yy/1394156613
[影视] 济公游记,http://43.138.170.29:35455/yy/25221556
欧阳震华带你起飞,http://43.138.170.29:35455/yy/1456829119
案发现场全集,http://43.138.170.29:35455/yy/1354775242
新主播，求照顾,http://43.138.170.29:35455/yy/1394102549
战狼6吴京首播,http://43.138.170.29:35455/yy/1354330332
西游记后传,http://43.138.170.29:35455/yy/1382736846
德爷单挑荒野,http://43.138.170.29:35455/yy/62370558
法证先锋,http://43.138.170.29:35455/yy/1354930939
24H欧美惊悚科幻,http://43.138.170.29:35455/yy/1382656234
燃爆动作片,http://43.138.170.29:35455/yy/1382736801
欢乐集结号,http://43.138.170.29:35455/yy/1354931582
伪装者,http://43.138.170.29:35455/yy/1354936244
小欢喜,http://43.138.170.29:35455/yy/1382737888
国内喜剧,http://43.138.170.29:35455/yy/1382736862
法证先锋Ⅱ,http://43.138.170.29:35455/yy/1354888736
【港台】鬼片 惊悚 喜剧,http://43.138.170.29:35455/yy/1351030377
【荒野求生】德爷贝爷各种,http://43.138.170.29:35455/yy/21831828
恐怖片 女鬼,http://43.138.170.29:35455/yy/1455891197
炊事班的故事,http://43.138.170.29:35455/yy/1382749901
易中天品三国,http://43.138.170.29:35455/yy/1354931498
妖魔鬼怪 超好看,http://43.138.170.29:35455/yy/1459714870
情满四合院,http://43.138.170.29:35455/yy/1382736848
亲爱的热爱的,http://43.138.170.29:35455/yy/1354932433
我的体育老师,http://43.138.170.29:35455/yy/1382745169
炊事班的故事,http://43.138.170.29:35455/yy/1382646846
最美的青春,http://43.138.170.29:35455/yy/1382745116
贾玲春晚小品,http://43.138.170.29:35455/yy/1382736720
《鉴证实录》两部连播,http://43.138.170.29:35455/yy/1460336255
平凡岁月,http://43.138.170.29:35455/yy/1382745117
天龙八部蓝光,http://43.138.170.29:35455/yy/1355652820
宋小宝春晚小品合集,http://43.138.170.29:35455/yy/1382736866
插翅难逃,http://43.138.170.29:35455/yy/1355279371
大话西游至尊宝,http://43.138.170.29:35455/yy/1382736910
薛元帅传奇,http://43.138.170.29:35455/yy/31313785
野山鹰-影视剧,http://43.138.170.29:35455/yy/1354932395
百家讲坛――之明太祖朱元璋,http://43.138.170.29:35455/yy/1354936149
大明王朝,http://43.138.170.29:35455/yy/1382736879
赵本山小品,http://43.138.170.29:35455/yy/28882933
华子系列,http://43.138.170.29:35455/yy/1354888726
中国味道 第4季-美食纪录片,http://43.138.170.29:35455/yy/1382736845
【玄幻电影】,http://43.138.170.29:35455/yy/1355065896
夏洛特烦恼-国内电影-喜剧,http://43.138.170.29:35455/yy/1354936201
神探狄仁杰,http://43.138.170.29:35455/yy/1461133588
金婚,http://43.138.170.29:35455/yy/1382736832
惊恐鬼怪盗暮,http://43.138.170.29:35455/yy/1382749525
【港片】赌片 动作,http://43.138.170.29:35455/yy/24921161
赌神-发哥,http://43.138.170.29:35455/yy/1354889044
无敌燕双鹰,http://43.138.170.29:35455/yy/1354825244
鬼片.惊悚.港片,http://43.138.170.29:35455/yy/1355497884
敢死队-精彩动作电影,http://43.138.170.29:35455/yy/1382735573
鸡毛飞上天,http://43.138.170.29:35455/yy/1354806550
国外科幻,http://43.138.170.29:35455/yy/1382736800
欢乐集结号,http://43.138.170.29:35455/yy/1382735550
热门喜剧,http://43.138.170.29:35455/yy/1354931495
毒液：致命守护者,http://43.138.170.29:35455/yy/1382745095
枕上书正在直播,http://43.138.170.29:35455/yy/1351844200
【爱靓】虎子鬼片,http://43.138.170.29:35455/yy/1356075628
变形金刚,http://43.138.170.29:35455/yy/1382736803
三国演义,http://43.138.170.29:35455/yy/32788000
《神雕侠侣》黯然销魂,http://43.138.170.29:35455/yy/1394000563
的直播间,http://43.138.170.29:35455/yy/1354129442
余zui,http://43.138.170.29:35455/yy/31809939
华语经典电影,http://43.138.170.29:35455/yy/1382779065
24小时循环播电视剧,http://43.138.170.29:35455/yy/53320802
小敏,http://43.138.170.29:35455/yy/1382736890
陈情令,http://43.138.170.29:35455/yy/1382745121
最可爱的人,http://43.138.170.29:35455/yy/1382779528
国内外惊悚恐怖片,http://43.138.170.29:35455/yy/1356075281
我和僵尸有个约会,http://43.138.170.29:35455/yy/1355277480
加勒比海盗系列,http://43.138.170.29:35455/yy/1382749914
院线动作大片,http://43.138.170.29:35455/yy/1382736900
动漫奥斯卡正在直播,http://43.138.170.29:35455/yy/1382626335
经典大片合集,http://43.138.170.29:35455/yy/1382749895
电影百团大战,http://43.138.170.29:35455/yy/1382736871
第一滴血全集,http://43.138.170.29:35455/yy/1354932355
热血抗日电影,http://43.138.170.29:35455/yy/1382749907
小甜甜 勇敢的心,http://43.138.170.29:35455/yy/1382658790
空谷幽兰,http://43.138.170.29:35455/yy/1382745182
福贵,http://43.138.170.29:35455/yy/1354926537
林正英鬼片 陪你惊悚,http://43.138.170.29:35455/yy/1356072278
澳门风云,http://43.138.170.29:35455/yy/1459243913
本山快乐营,http://43.138.170.29:35455/yy/1354933529
单挑荒野第一季,http://43.138.170.29:35455/yy/1354933535
法证先锋2,http://43.138.170.29:35455/yy/1382736870
血色浪漫,http://43.138.170.29:35455/yy/1354926676
宝莲灯前传,http://43.138.170.29:35455/yy/1354931631
黑冰,http://43.138.170.29:35455/yy/1354932427
小沈阳春晚小品,http://43.138.170.29:35455/yy/1382749941
战争 二战 《狙击电影》,http://43.138.170.29:35455/yy/1450828388
大进军全集：红色系列电影,http://43.138.170.29:35455/yy/1382745083
洪金宝福星系列,http://43.138.170.29:35455/yy/1354924839
影视剧场,http://43.138.170.29:35455/yy/1355260855
公主嫁到,http://43.138.170.29:35455/yy/1382736915
木乃伊全集,http://43.138.170.29:35455/yy/1354889024
本山快乐营1,http://43.138.170.29:35455/yy/1354936209
【电视剧】天下第一,http://43.138.170.29:35455/yy/1354780649
香港院线大片-最新,http://43.138.170.29:35455/yy/1354936242
奇缘39262港台影院,http://43.138.170.29:35455/yy/1354889234
逋鞠盗 -国产喜剧,http://43.138.170.29:35455/yy/1382736856
惊天大瓜,http://43.138.170.29:35455/yy/1353327982
神秘探险热播电视剧,http://43.138.170.29:35455/yy/1355336008
天下第一,http://43.138.170.29:35455/yy/1355554637
怀旧好电影,http://43.138.170.29:35455/yy/1382627144
粟裕大将-影视,http://43.138.170.29:35455/yy/1354926542
逐梦传媒-007 正在直播,http://43.138.170.29:35455/yy/1456685522
特种兵归来-国产电影,http://43.138.170.29:35455/yy/1382735581
法证先锋Ⅲ,http://43.138.170.29:35455/yy/1382736802
金婚,http://43.138.170.29:35455/yy/1382828768
新白娘子传奇-女神赵雅芝,http://43.138.170.29:35455/yy/1354930969
传奇英雄,http://43.138.170.29:35455/yy/1382735578
勇敢的心,http://43.138.170.29:35455/yy/1354792480
精彩动作电影享不停,http://43.138.170.29:35455/yy/1382736809
憨豆先生-经典喜剧,http://43.138.170.29:35455/yy/1354936239
赵家班电视剧,http://43.138.170.29:35455/yy/1382737099
X战警系列电影,http://43.138.170.29:35455/yy/1382736893
战争大片-国外电影,http://43.138.170.29:35455/yy/1382736857
热血战争巨作,http://43.138.170.29:35455/yy/1382745087
舌尖上的中国第2季,http://43.138.170.29:35455/yy/1354930943
俺娘田小草,http://43.138.170.29:35455/yy/1382741638
铭记历史-甲午大海战,http://43.138.170.29:35455/yy/1354936195
探秘中华美食,http://43.138.170.29:35455/yy/1354930954
临界婚姻,http://43.138.170.29:35455/yy/1354932365
经典动作电影,http://43.138.170.29:35455/yy/1370293254
狂飙,http://43.138.170.29:35455/yy/14072363
河山,http://43.138.170.29:35455/yy/1382749952
军旅电视剧,http://43.138.170.29:35455/yy/1352575322
精彩玄幻电影,http://43.138.170.29:35455/yy/1382688400
远去的飞鹰-影视剧,http://43.138.170.29:35455/yy/1354930912
发哥系列,http://43.138.170.29:35455/yy/1354888733
哈利波特全集,http://43.138.170.29:35455/yy/1382745105
经典抗日电影,http://43.138.170.29:35455/yy/1354936141
国内战争电影,http://43.138.170.29:35455/yy/1382736865
剩女李夏天的求爱之路,http://43.138.170.29:35455/yy/1382749910
九亿少女的噩梦,http://43.138.170.29:35455/yy/1354921392
欢乐集结号3,http://43.138.170.29:35455/yy/1382736822
魔幻手机,http://43.138.170.29:35455/yy/1382735544
成龙系列,http://43.138.170.29:35455/yy/1354888751
探案！探案！,http://43.138.170.29:35455/yy/1382829413
战狼3,http://43.138.170.29:35455/yy/1355913027
小戏骨黄飞鸿,http://43.138.170.29:35455/yy/1354936181
国外黑色喜剧：冷幽默小剧场,http://43.138.170.29:35455/yy/1382745175
请回答1988,http://43.138.170.29:35455/yy/1354932362
金庸武侠系列,http://43.138.170.29:35455/yy/40959929
超级英雄系列电影,http://43.138.170.29:35455/yy/1382736863
国威影院 仙侠系列,http://43.138.170.29:35455/yy/1354866665
人生必看的科幻片,http://43.138.170.29:35455/yy/1382745114
国内战争大片合集,http://43.138.170.29:35455/yy/1382749950
红楼梦1987经典版,http://43.138.170.29:35455/yy/1382745084
正阳门下小女人,http://43.138.170.29:35455/yy/1508778570
大汉贤后卫子夫,http://43.138.170.29:35455/yy/1382735569
怀旧小品,http://43.138.170.29:35455/yy/1382736821
国外动作大片,http://43.138.170.29:35455/yy/1382735540
【科幻】超炫特效,http://43.138.170.29:35455/yy/37988782
体验另一种生活！,http://43.138.170.29:35455/yy/1354936229
超精彩武打场景,http://43.138.170.29:35455/yy/1354936131
宫心计,http://43.138.170.29:35455/yy/1354932429
国产大片电影,http://43.138.170.29:35455/yy/1354926655
超精彩！系列动作电影,http://43.138.170.29:35455/yy/1382745096
第8号当铺,http://43.138.170.29:35455/yy/1382736905
热血战争片,http://43.138.170.29:35455/yy/1354932409
大汉天子S1,http://43.138.170.29:35455/yy/1382749902
百家讲坛-红楼梦篇,http://43.138.170.29:35455/yy/1382741639
战狼10086,http://43.138.170.29:35455/yy/1382773686
漫威十年老粉福利来了,http://43.138.170.29:35455/yy/1354930233
洪大哥系列,http://43.138.170.29:35455/yy/1354888743
鬼片 恐怖片超好看,http://43.138.170.29:35455/yy/1382780025
名媛望族-精彩港剧,http://43.138.170.29:35455/yy/1354932431
战狼7吴京退役,http://43.138.170.29:35455/yy/1382773714
